x,y
83,83
82,83
81,83
81,84
81,85
81,86
80,86
79,86
79,85
79,84
79,83
78,83
77,83
76,83
75,83
74,83
73,83
72,83
71,83
70,83
69,83
68,83
67,83
66,83
65,83
64,83
63,83
62,83
61,83
60,83
59,83
58,83
57,83
56,83
55,83
54,83
53,83
52,83
51,83
50,83
49,83
48,83
47,83
46,83
45,83
44,83
43,83
42,83
41,83
40,83
39,83
38,83
37,83
36,83
35,83
34,83
33,83
32,83
31,83
30,83
29,83
28,83
27,83
26,83
25,83
24,83
23,83
22,83
21,83
20,83
19,83
18,83
17,83
16,83
15,83
14,83
13,83
12,83
11,83
10,83
9,83
8,83
7,83
6,83
5,83
5,82
5,81
5,80
5,79
5,78
5,77
5,76
5,75
5,74
5,73
5,72
5,71
5,70
5,69
5,68
5,67
5,66
5,65
5,64
5,63
5,62
5,61
5,60
5,59
5,58
5,57
5,56
5,55
5,54
5,53
5,52
5,51
5,50
5,49
5,48
5,47
5,46
5,45
5,44
5,43
5,42
5,41
5,40
5,39
5,38
5,37
5,36
5,35
5,34
5,33
5,32
5,31
5,30
5,29
5,28
5,27
5,26
5,25
5,24
5,23
5,22
5,21
5,20
5,19
5,18
5,17
5,16
5,15
5,14
5,13
5,12
5,11
5,10
5,9
5,8
5,7
5,6
5,5
