x,y
84.0805,79.5252
82.5149,78.2806
80.5199,78.1396
78.7817,77.1504
77.0075,78.0736
75.0467,78.4679
75.4391,80.429
73.4483,80.6208
72,82
71.4078,84.6821
69.621,85.5806
68.4991,87.2363
66.6728,88.0515
65.007,86.9446
64.27,88.8039
63.4647,86.9732
63.9202,85.0257
61.9223,85.1181
59.941,85.3909
58.2231,84.3667
56.7081,83.0611
57.051,81.0907
55.1469,80.4786
54.5004,78.586
52.5008,78.5457
51.7899,76.6763
49.8696,77.235
47.871,77.3108
46.0561,76.4704
48,76
48.8158,75.1509
49.6643,73.3399
49.8716,71.3506
50.0205,69.3562
51.5104,68.022
49.5267,67.7675
47.6681,67.0287
47.7093,65.0291
48.5506,63.2146
47.7657,61.3751
46.0743,60.3078
44.2702,61.1712
43.931,59.2001
43.5559,57.2356
41.8343,56.2178
43.2794,54.8352
42.5222,52.984
42.2905,50.9975
42.2039,48.9994
43.205,47.268
41.3109,46.6257
40.342,44.8761
40.1611,42.8843
38.2987,43.6132
38.5445,41.6284
39.7241,40.0133
38.9947,38.1511
36.996,38.2249
35.1559,39.0085
33.7328,40.4137
31.7561,40.1093
29.9535,40.9758
30.23,38.995
29.9431,37.0157
30.1286,35.0243
30.0099,33.0278
28.0724,33.5239
28.0923,35.5238
26.1958,36.1587
26.0375,34.165
24.3831,33.0411
23.0615,31.54
23.1382,29.5414
23.7005,27.6221
21.7685,28.1389
19.9424,28.9547
18.0006,29.4336
16.1118,28.7759
14.1142,28.6791
12.8613,27.1201
10.9296,26.6021
9.97917,24.8424
10.0019,22.8425
8.03141,22.4999
6.3001,21.4986
4.90335,20.0672
4.0225,18.2716
4.94863,16.4989
2.99926,16.0518
3.95235,14.2935
2.15761,13.4109
2.66634,11.4767
2.09181,9.56098
1.93345,7.56726
3.44312,6.25543
5,5
