x,y,path
5,5,1
5,5,2
5,5,3
6.83758,4.21051,4
5,5,4
6.83758,4.21051,5
5,5,5
6.83758,4.21051,6
5,5,6
3.44312,6.25543,7
5,5,7
6.83758,4.21051,8
5,5,8
6.83758,4.21051,9
5,5,9
6.83758,4.21051,10
5,5,10
6.83758,4.21051,11
5,5,11
6.88996,6.20982,12
6.83758,4.21051,12
5,5,12
8.83109,5.72815,13
6.88996,6.20982,13
6.83758,4.21051,13
5,5,13
10.3496,4.4266,14
8.83109,5.72815,14
6.88996,6.20982,14
6.83758,4.21051,14
5,5,14
8.83109,5.72815,15
6.88996,6.20982,15
6.83758,4.21051,15
5,5,15
3.44312,6.25543,16
5,5,16
8.83109,5.72815,17
6.88996,6.20982,17
6.83758,4.21051,17
5,5,17
3.44312,6.25543,18
5,5,18
12.3038,4.00109,19
10.3496,4.4266,19
8.83109,5.72815,19
6.88996,6.20982,19
6.83758,4.21051,19
5,5,19
13.6266,2.501,20
12.3038,4.00109,20
10.3496,4.4266,20
8.83109,5.72815,20
6.88996,6.20982,20
6.83758,4.21051,20
5,5,20
3.44312,6.25543,21
5,5,21
10.8274,5.60734,22
8.83109,5.72815,22
6.88996,6.20982,22
6.83758,4.21051,22
5,5,22
13.6266,2.501,23
12.3038,4.00109,23
10.3496,4.4266,23
8.83109,5.72815,23
6.88996,6.20982,23
6.83758,4.21051,23
5,5,23
1.93345,7.56726,24
3.44312,6.25543,24
5,5,24
13.6266,2.501,25
12.3038,4.00109,25
10.3496,4.4266,25
8.83109,5.72815,25
6.88996,6.20982,25
6.83758,4.21051,25
5,5,25
1.93345,7.56726,26
3.44312,6.25543,26
5,5,26
13.6266,2.501,27
12.3038,4.00109,27
10.3496,4.4266,27
8.83109,5.72815,27
6.88996,6.20982,27
6.83758,4.21051,27
5,5,27
2.09181,9.56098,28
1.93345,7.56726,28
3.44312,6.25543,28
5,5,28
10.6727,7.60135,29
10.8274,5.60734,29
8.83109,5.72815,29
6.88996,6.20982,29
6.83758,4.21051,29
5,5,29
2.66634,11.4767,30
2.09181,9.56098,30
1.93345,7.56726,30
3.44312,6.25543,30
5,5,30
13.6266,2.501,31
12.3038,4.00109,31
10.3496,4.4266,31
8.83109,5.72815,31
6.88996,6.20982,31
6.83758,4.21051,31
5,5,31
12.3038,4.00109,32
10.3496,4.4266,32
8.83109,5.72815,32
6.88996,6.20982,32
6.83758,4.21051,32
5,5,32
2.15761,13.4109,33
2.66634,11.4767,33
2.09181,9.56098,33
1.93345,7.56726,33
3.44312,6.25543,33
5,5,33
2.15761,13.4109,34
2.66634,11.4767,34
2.09181,9.56098,34
1.93345,7.56726,34
3.44312,6.25543,34
5,5,34
10.6727,7.60135,35
10.8274,5.60734,35
8.83109,5.72815,35
6.88996,6.20982,35
6.83758,4.21051,35
5,5,35
3.95235,14.2935,36
2.15761,13.4109,36
2.66634,11.4767,36
2.09181,9.56098,36
1.93345,7.56726,36
3.44312,6.25543,36
5,5,36
3.95235,14.2935,37
2.15761,13.4109,37
2.66634,11.4767,37
2.09181,9.56098,37
1.93345,7.56726,37
3.44312,6.25543,37
5,5,37
3.95235,14.2935,38
2.15761,13.4109,38
2.66634,11.4767,38
2.09181,9.56098,38
1.93345,7.56726,38
3.44312,6.25543,38
5,5,38
3.95235,14.2935,39
2.15761,13.4109,39
2.66634,11.4767,39
2.09181,9.56098,39
1.93345,7.56726,39
3.44312,6.25543,39
5,5,39
2.99926,16.0518,40
3.95235,14.2935,40
2.15761,13.4109,40
2.66634,11.4767,40
2.09181,9.56098,40
1.93345,7.56726,40
3.44312,6.25543,40
5,5,40
2.99926,16.0518,41
3.95235,14.2935,41
2.15761,13.4109,41
2.66634,11.4767,41
2.09181,9.56098,41
1.93345,7.56726,41
3.44312,6.25543,41
5,5,41
13.6266,2.501,42
12.3038,4.00109,42
10.3496,4.4266,42
8.83109,5.72815,42
6.88996,6.20982,42
6.83758,4.21051,42
5,5,42
10.2868,9.56376,43
10.6727,7.60135,43
10.8274,5.60734,43
8.83109,5.72815,43
6.88996,6.20982,43
6.83758,4.21051,43
5,5,43
2.99926,16.0518,44
3.95235,14.2935,44
2.15761,13.4109,44
2.66634,11.4767,44
2.09181,9.56098,44
1.93345,7.56726,44
3.44312,6.25543,44
5,5,44
10.2868,9.56376,45
10.6727,7.60135,45
10.8274,5.60734,45
8.83109,5.72815,45
6.88996,6.20982,45
6.83758,4.21051,45
5,5,45
2.99926,16.0518,46
3.95235,14.2935,46
2.15761,13.4109,46
2.66634,11.4767,46
2.09181,9.56098,46
1.93345,7.56726,46
3.44312,6.25543,46
5,5,46
9.94558,11.5344,47
10.2868,9.56376,47
10.6727,7.60135,47
10.8274,5.60734,47
8.83109,5.72815,47
6.88996,6.20982,47
6.83758,4.21051,47
5,5,47
2.99926,16.0518,48
3.95235,14.2935,48
2.15761,13.4109,48
2.66634,11.4767,48
2.09181,9.56098,48
1.93345,7.56726,48
3.44312,6.25543,48
5,5,48
2.99926,16.0518,49
3.95235,14.2935,49
2.15761,13.4109,49
2.66634,11.4767,49
2.09181,9.56098,49
1.93345,7.56726,49
3.44312,6.25543,49
5,5,49
13.6266,2.501,50
12.3038,4.00109,50
10.3496,4.4266,50
8.83109,5.72815,50
6.88996,6.20982,50
6.83758,4.21051,50
5,5,50
2.99926,16.0518,51
3.95235,14.2935,51
2.15761,13.4109,51
2.66634,11.4767,51
2.09181,9.56098,51
1.93345,7.56726,51
3.44312,6.25543,51
5,5,51
2.99926,16.0518,52
3.95235,14.2935,52
2.15761,13.4109,52
2.66634,11.4767,52
2.09181,9.56098,52
1.93345,7.56726,52
3.44312,6.25543,52
5,5,52
15.3399,1.4691,53
13.6266,2.501,53
12.3038,4.00109,53
10.3496,4.4266,53
8.83109,5.72815,53
6.88996,6.20982,53
6.83758,4.21051,53
5,5,53
